Text,Label
"I'm interested in purchasing the new smartphone model. Could you help me understand its features?",Sales
"The washing machine I bought from your store has already broken down. This is frustrating!",Complaints
"I need to file a warranty claim for a microwave that stopped working after three months.",Claims
"The laptop I bought exceeded my expectations! The performance and battery life are fantastic.",Feedback
"I'm looking at the latest laptop model. Can you tell me about its specifications?",Sales
"The blender I purchased is faulty. It makes a loud noise and doesn’t work as expected.",Complaints
"My dishwasher stopped working within the first month. I’d like to file a warranty claim.",Claims
"The customer service was excellent, and I’m very satisfied with my purchase.",Feedback
"Can you tell me about the benefits of this insurance plan? I'm interested in purchasing it.",Sales
"The headphones I bought have poor sound quality, and I'm really disappointed.",Complaints
"I need help filing a claim for my fridge that’s still under warranty but stopped cooling.",Claims
"I'm very happy with the quality of the service provided. Thank you for the great experience!",Feedback
"I'm interested in the new car model. Could you provide more details on its features?",Sales
"The TV I ordered isn’t working properly, and I need assistance with a replacement.",Complaints
"My coffee maker broke down after a few uses. I want to initiate a warranty claim.",Claims
"The shopping experience was smooth, and the staff was very helpful!",Feedback
"I’d like to know more about the payment options for this product.",Sales
"The mattress I bought is very uncomfortable. This isn’t what I expected.",Complaints
"My washing machine is still under warranty, and I need to file a claim as it stopped working.",Claims
"The tablet works great, and I’m impressed with the battery life. Thank you for a quality product!",Feedback
"I’m considering purchasing this membership. Can you tell me about the benefits?",Sales
"The customer service hasn’t been helpful with my issue. I’m very dissatisfied.",Complaints
"My vacuum cleaner broke within the warranty period, and I need to file a claim.",Claims
"The product arrived in excellent condition, and I’m very happy with the purchase.",Feedback
"I'm interested in knowing more about the extended warranty options for this product.",Sales
"The washing machine was noisy and didn’t work well from day one. I’d like to make a complaint.",Complaints
"My air conditioner stopped cooling, and I need help filing a warranty claim.",Claims
"The purchase process was smooth, and I received great support. Thank you!",Feedback
"Can you help me decide if this car model fits my needs? I’m interested in buying it.",Sales
"The tablet I received is damaged, and I want a replacement.",Complaints
"I have a question about the warranty on my new camera. Can you help?",Technical Support
"My internet connection has been down for two days, and I need assistance.",Technical Support
"The software I downloaded isn't working correctly. I need technical support.",Technical Support
"I was charged twice for my subscription this month. Can you explain why?",Billing Inquiries
"I want to change my billing information for my subscription. How can I do that?",Billing Inquiries
"I need a receipt for my recent purchase. Can you send it to me?",Billing Inquiries
"I have a question about the delivery status of my order. When will it arrive?",Product Inquiry
"I'm looking for more details on the features of this smartwatch. Can you help?",Product Inquiry
"I want to know if this printer is compatible with my computer. Can you confirm?",Product Inquiry
"I'm interested in the new gaming console. Can you provide me with pricing?",Sales
"The exercise bike I ordered doesn't seem to be functioning correctly.",Complaints
"I need to claim the warranty for my smartphone as the screen is cracked.",Claims
"The quality of the headphones is fantastic; I’m impressed with the sound quality.",Feedback
"The customer service representative was very helpful in addressing my issue.",Feedback
"I want to upgrade my plan. What options are available?",Billing Inquiries
"My order was delayed, and I need to know when it will be shipped.",Product Inquiry
"The TV remote I received is not working properly. I’d like to complain about this.",Complaints
"I'm experiencing issues with my account login. Can you help me reset my password?",Technical Support
"The coffee maker I bought is leaking water. I need to report this.",Complaints
"I'm curious about the return policy for this item. Can you clarify?",Sales
"My tablet's battery drains very quickly. I'd like to request support.",Technical Support
"I want to cancel my subscription. What is the process?",Billing Inquiries
"The delivery service was very efficient, and I received my order ahead of schedule.",Feedback
"The smartphone I received has some scratches on it. I'm not happy about that.",Complaints
"I'd like to know if this camera comes with a warranty. Can you provide details?",Product Inquiry
"I'm experiencing issues with my account login. Can you help me reset my password?",Technical Support
"The coffee maker I bought is leaking water. I need to report this.",Complaints
"I'm curious about the return policy for this item. Can you clarify?",Sales
"My tablet's battery drains very quickly. I'd like to request support.",Technical Support
"I want to cancel my subscription. What is the process?",Billing Inquiries
"The delivery service was very efficient, and I received my order ahead of schedule.",Feedback
"The smartphone I received has some scratches on it. I'm not happy about that.",Complaints
"I'd like to know if this camera comes with a warranty. Can you provide details?",Product Inquiry
"Can I get a refund for my damaged shipment?",Claims
"How do I file an insurance claim for my lost package?",Claims
"Your customer service team was excellent in handling my issue!",Feedback
"What are the payment options available for this product?",Sales
"My monthly bill seems incorrect. Can you review it?",Billing Inquiries
"Does this laptop come with international warranty coverage?",Product Inquiry
"The product quality exceeded my expectations!",Feedback
"I haven't received my order yet. It's been 2 weeks.",Complaints
"How do I submit a claim for a defective product?",Claims
"What's the processing time for refunds?",Billing Inquiries
"Can you explain the features of your premium plan?",Product Inquiry
"The installation guide is confusing. Need technical assistance.",Technical Support
"My internet connection keeps dropping. Please help.",Technical Support
"I want to upgrade my current subscription plan.",Billing Inquiries
"The product arrived damaged. I want to file a claim.",Claims
"Excellent product and prompt delivery service!",Feedback
"How do I track my order status?",Sales
"The website checkout process isn't working.",Technical Support
"I need information about bulk order pricing.",Sales
"Your service representative was very helpful and professional.",Feedback
"My warranty claim was rejected without explanation.",Claims
"The product description doesn't match what I received.",Complaints
"My dishwasher keeps making strange noises during the wash cycle. What should I do?",Technical Support
"I'd like to know about available financing options for your premium models.",Sales
"The paint is chipping off after just one week of use. This is unacceptable.",Complaints
"Your support team resolved my issue in minutes. Very impressed!",Feedback
"Need to submit an insurance claim for water damage to my device.",Claims
"Why was I charged twice for my monthly subscription?",Billing Inquiries
"Could you compare the features of Model X and Model Y?",Product Inquiry
"The shipping cost seems higher than what was advertised.",Billing Inquiries
"My washing machine flooded the basement. Filing a damage claim.",Claims
"Ordering process was smooth and delivery was right on time!",Feedback
"The app keeps crashing when I try to make a payment.",Technical Support
"Looking to purchase in bulk for my business. What discounts do you offer?",Sales
"Product arrived with missing parts. Very disappointing.",Complaints
"What's the difference between basic and premium warranties?",Product Inquiry
"Need assistance processing my quarterly maintenance payment.",Billing Inquiries
"The technician was professional and fixed the issue quickly.",Feedback
"My phone screen cracked within the warranty period. Need to claim replacement.",Claims
"Can't sync my device with the cloud service.",Technical Support
"Interested in your holiday season promotional offers.",Sales
"The user manual doesn't match the product I received.",Complaints
"How do I activate my extended warranty coverage?",Product Inquiry
"Outstanding customer experience from start to finish!",Feedback
"The automatic payment system charged my expired card.",Billing Inquiries
"Filing a claim for lightning damage to my smart home system.",Claims
"The product quality is much lower than advertised.",Complaints
"Need help configuring my network settings.",Technical Support
"What payment plans do you offer for premium memberships?",Sales
"Your delivery partner damaged my furniture during installation.",Claims
"The mobile app interface is very user-friendly.",Feedback
"Can you explain the differences between your service tiers?",Product Inquiry
"My security system keeps triggering false alarms. Need technical help.",Technical Support
"Want to claim warranty for my malfunctioning printer.",Claims
"The customer service wait times are incredibly long.",Complaints
"How do I update my billing information?",Billing Inquiries
"Impressed with the energy efficiency of your new model!",Feedback
"Do you offer student discounts on your products?",Sales
"The remote support session was very helpful.",Technical Support
"My insurance claim has been pending for weeks.",Claims
"The pricing on my invoice doesn't match the quoted amount.",Billing Inquiries
"What's the power consumption rating of this appliance?",Product Inquiry
"The product packaging was damaged upon delivery.",Complaints
"Your online tutorial videos are extremely helpful!",Feedback
"Looking for information about your trade-in program.",Sales
"Need to file a claim for storm damage to my outdoor unit.",Claims
"The software update deleted all my saved settings.",Technical Support
"Can I get a detailed specification sheet for this model?",Product Inquiry
"Why did my monthly rate increase without notice?",Billing Inquiries
"The installation team was punctual and professional.",Feedback
"Product stopped working after just two days.",Complaints
"Do you offer international shipping for this item?",Sales
"I've been experiencing intermittent connectivity issues with my smart home system for the past three weeks. The devices keep disconnecting from the network randomly throughout the day, especially during peak usage hours. I've already tried resetting the hub and reconnecting all devices, but the problem persists. This is affecting my home security system as well.",Technical Support
